acts,address,datefrom,dateto,day,district,filename,link,pahar,psdate,pstation,pstime,section,timefrom,timeto,full_charge,group_charge,hour
1 IPC 1860,"15, TEEN MURTI LANE, CHANAKYA PURI, NEW DELHI",2017-02-13,2017-02-13,Monday,NEW DELHI,8165007170018.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170018,,2017-02-13,CHANKYA PURI,16:35,420,08:30,16:30,cheating,cheating,8.0
1 IPC 1860,"SAN MARTIN MARG NEAR ABHAY MARG, CHANAKYA PURI, NEW DELHI",2017-02-25,2017-02-25,Saturday,NEW DELHI,8165007170020.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170020,1,2017-02-25,CHANKYA PURI,19:45,279/304A,00:00,00:00,Negligence conduct-Rash driving,Rash driving,0.0
1 IPC 1860,"MTC ROAD BEFORE, ARMY GROUND GATE",2017-03-03,2017-03-03,Friday,NEW DELHI,8165007170021.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170021,4,2017-03-03,CHANKYA PURI,12:20,392/34,10:10,12:00,Robbery,Robbery,10.0
1 IPC 1860,"RIDZE ROAD BUDHA GARDEN, GATE NO.‘I TO DHAULA KAUAN SIDE",2017-03-03,2017-03-03,Friday,NEW DELHI,8165007170022.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170022,4,2017-03-03,CHANKYA PURI,12:40,279/337,09:30,12:15,Rash driving-endangering safety of others,Rash driving,9.0
1 IPC 1860,"SHANTI PATH NYAY MARG, GOL CHAKKAR CHANAKYA PURI, NEW DELHI",2017-03-10,2017-03-10,Friday,NEW DELHI,8165007170023.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170023,,2017-03-10,CHANKYA PURI,18:05,279/337,12:17,17:45,Rash driving-endangering safety of others,Rash driving,12.0
1 IPC 1860,"SPM NEAR SADHU SAMAJ BUS STAND, CHANAKYA PURI, NEW DELHI",2017-03-14,2017-03-14,Tuesday,NEW DELHI,8165007170024.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170024,,2017-03-14,CHANKYA PURI,10:05,279/337,00:00,09:45,Rash driving-endangering safety of others,Rash driving,0.0
1 IPC 1860,"NEAR NALA 11 MURTI, CHANAKYA PURI, NEW DELHI",2017-03-18,2017-03-18,Saturday,NEW DELHI,8165007170025.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170025,2,2017-03-18,CHANKYA PURI,05:15,392/34,03:30,05:00,Robbery,Robbery,3.0
1 IPC 1860,"H.NO. 71, TEEN MURTI POLICE COUMPOUND, CHANAKYA PURI",2017-03-27,2017-03-27,Monday,NEW DELHI,8165007170026.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170026,6,2017-03-28,CHANKYA PURI,12:32,363,18:30,18:30,Kidnapping,Kidnapping,18.0
1 IPC 1860,"G-AVENUE, NEAR D 1-D 2 FLATS, CHANAKYA PURI, NEW DELHI",2017-03-29,2017-03-29,Wednesday,NEW DELHI,8165007170027.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170027,7,2017-03-29,CHANKYA PURI,23:15,379/356/34,21:40,21:45,Snatching-Theft,Snatching,21.0
1 IPC 1860,"IN FRONT OF US EMBASSY, CH PURI, NEW DELHI",2017-04-01,2017-04-01,Saturday,NEW DELHI,8165007170029.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170029,,2017-04-01,CHANKYA PURI,23:05,354(D)/509/34,17:00,23:00,Stalking-sexual harrasement,sexual harrasement,17.0
1 IPC 1860,"D-1/175, SATYA MARG, CHANAKYA PURI, NEW DELHI",2017-04-02,2017-04-02,Sunday,NEW DELHI,8165007170030.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170030,,2017-04-02,CHANKYA PURI,10:40,380/457,00:00,10:10,Theft-house-trespass,Theft,0.0
1 IPC 1860,"INFRONT OF ETHOPIA CULTURE CENTRE, CHANAKYA PURI, NEW DELHI",2017-04-02,2017-04-02,Sunday,NEW DELHI,8165007170031.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170031,8,2017-04-02,CHANKYA PURI,22:35,379/356/34,21:15,22:15,Snatching-Theft,Snatching,21.0
1 IPC 1860,"P.P. MARG, ON ROAD,, NEAR GOAL DAK KHANA,, NEW DELHI",2017-01-05,2017-01-05,Thursday,NEW DELHI,8165038170004.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170004,8,2017-01-05,NORTH AVENUE,23:40,356/379,22:30,22:30,Snatching-Theft,Snatching,22.0
1 IPC 1860,"38, GURUDWARA RAKAB GANJ ROAD, STAFF QUATER, NEW DELHI",2017-01-14,2017-01-14,Saturday,NEW DELHI,8165038170007.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170007,7,2017-01-14,NORTH AVENUE,21:15,363,20:00,20:00,Kidnapping,Kidnapping,20.0
1 IPC 1860,"RML HOSPITAL, NEW DELHI",2017-01-15,2017-01-15,Sunday,NEW DELHI,8165038170008.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170008,2,2017-01-15,NORTH AVENUE,08:40,380,06:00,06:00,Theft,Theft,6.0
1 IPC 1860,"B.K.S MARG N.D.P.O., BUS STAND, NEW DELHI",2017-01-18,2017-01-18,Wednesday,NEW DELHI,8165038170010.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170010,4,2017-01-18,NORTH AVENUE,12:15,279/337,11:30,11:30,Rash driving-endangering safety of others,Rash driving,11.0
1 IPC 1860,"ECS 1ST FLOOR EMERGENCY, RML HOSPITAL, NEW DELHI",2017-01-23,2017-01-23,Monday,NEW DELHI,8165038170012.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170012,1,2017-01-23,NORTH AVENUE,07:50,379,02:00,02:00,Theft,Theft,2.0
1 IPC 1860,"14 PANDIT PANT MARG, NEW DELHI",2017-02-01,2017-02-01,Wednesday,NEW DELHI,8165038170013.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170013,5,2017-02-01,NORTH AVENUE,14:43,379,14:20,14:20,Theft,Theft,14.0
1 IPC 1860,"ROOM NO. 15 GYNEE OPD, DR. RML HOSPITAL, NEW DELHI",2017-02-03,2017-02-03,Friday,NEW DELHI,8165038170014.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170014,,2017-02-04,NORTH AVENUE,13:25,380,14:00,16:30,Theft,Theft,14.0
1 IPC 1860,"IN FRONT OF 8 GURUDWARA RAKAB GANJ, ROAD DELHI, NEW DELHI",2017-02-04,2017-02-04,Saturday,NEW DELHI,8165038170015.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170015,7,2017-02-05,NORTH AVENUE,15:15,379,19:00,19:00,Theft,Theft,19.0
1 IPC 1860,"JHUGGI 33/103, G-POINT KALI BARI ND, NEW DELHI",2017-02-07,2017-02-07,Tuesday,NEW DELHI,8165038170017.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170017,7,2017-02-08,NORTH AVENUE,09:00,452/354/323,19:20,19:20,Causing hurt-house-trespass-sexual harrasement,sexual harrasement,19.0
1 IPC 1860,,2017-02-23,2017-02-23,Thursday,NEW DELHI,8165038170018.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170018,4,2017-02-23,NORTH AVENUE,13:45,419/420/34,10:30,11:00,cheating,cheating,10.0
1 IPC 1860,"IIIRD FLOOR OPD, DR. RML HOSPITAL, NEW DELHI",2017-02-27,2017-02-27,Monday,NEW DELHI,8165038170020.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170020,4,2017-02-28,NORTH AVENUE,15:25,379,12:00,12:00,Theft,Theft,12.0
1 IPC 1860,"SISTER'S CHANGING ROOM, DR. RML HOSPITAL, NEW DELHI",2017-03-04,2017-03-04,Saturday,NEW DELHI,8165038170021.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170021,,2017-03-04,NORTH AVENUE,20:15,380,14:00,16:45,Theft,Theft,14.0
1 IPC 1860,"PSYCATRIC DEPT, MALE WARD, BED NO. 6, DR. RML HOSPITAL, NEW DELHI",2017-03-07,2017-03-07,Tuesday,NEW DELHI,8165038170022.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170022,3,2017-03-07,NORTH AVENUE,16:05,363,08:00,08:00,Kidnapping,Kidnapping,8.0
1 IPC 1860,"EMERGENCY WARD, DR. R.M.L HOSPITAL, N.D",2017-04-14,2017-04-14,Friday,NEW DELHI,8165038170029.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170029,3,2017-04-15,NORTH AVENUE,16:00,186/353/332,06:30,07:00,Disobedience to pub. Serv. Order-hurting public servant,Disobedience to pub. Serv. Order-hurting public servant,6.0
1 IPC 1860,"8, TALKATORA RD, NEW DELHI, SERVANT QUARTER",2017-04-20,2017-04-20,Thursday,NEW DELHI,8165038170030.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170030,2,2017-04-20,NORTH AVENUE,12:35,436/337,04:00,04:00,endangering safety of others-mischief by fire,Others,4.0
1 IPC 1860,"SUBRAMANIA BHARATI MARG, IN FRONT OF KOTHI NO. 6, LODHI ESTATE, NEW DELHI",2017-01-12,2017-01-12,Thursday,NEW DELHI,8165036170002.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170002,1,2017-01-12,TUGHLAK ROAD,03:40,279/337,03:30,03:30,Rash driving-endangering safety of others,Rash driving,3.0
1 IPC 1860,"IN FRONT OF KOTHI NO. 5, SAFDARJUNG ROAD, NEW DELHI",2017-01-12,2017-01-12,Thursday,NEW DELHI,8165036170003.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170003,7,2017-01-12,TUGHLAK ROAD,21:15,279/337/379/34,21:00,21:00,Rash driving-Theft-endangering safety of others,Rash driving,21.0
1 IPC 1860,KOLKATA TO NEW DELHI,2017-01-12,2017-01-12,Thursday,NEW DELHI,8165036170004.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170004,,2017-01-16,TUGHLAK ROAD,00:00,379,10:35,13:00,Theft,Theft,10.0
1 IPC 1860,"57, LODHI ESTATE, NEW DELHI",2017-01-18,2017-01-19,INTERVENING DAY,NEW DELHI,8165036170005.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170005,,2017-01-19,TUGHLAK ROAD,15:00,380/457,20:00,14:20,Theft-house-trespass,Theft,20.0
1 IPC 1860,"PR ROAD, AURANGZEB LANE CROSSING, NEW DELHI",2017-01-20,2017-01-20,Friday,NEW DELHI,8165036170006.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170006,7,2017-01-20,TUGHLAK ROAD,19:11,279,19:00,19:00,Rash driving,Rash driving,19.0
1 IPC 1860,"TUGHLAK ROAD, NEAR BUS STAND HANUMAN MANDIR, NEW DELHI",2017-01-22,2017-01-22,Sunday,NEW DELHI,8165036170007.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170007,5,2017-01-22,TUGHLAK ROAD,16:50,279/337,14:00,14:00,Rash driving-endangering safety of others,Rash driving,14.0
1 IPC 1860,"IN BETWEEN, GURGOAN TO 0-1/3, LODHI GARDEN, NEW DELHI",2017-01-27,2017-01-27,Friday,NEW DELHI,8165036170008.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170008,,2017-01-28,TUGHLAK ROAD,20:30,379,18:00,23:30,Theft,Theft,18.0
1 IPC 1860,"BASMENT PARTY HALL, INDIA ISLAMIC CENTRE, LODHI ROAD, NEW DELHI",2017-01-29,2017-01-29,Sunday,NEW DELHI,8165036170009.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170009,1,2017-01-29,TUGHLAK ROAD,01:40,380,01:00,01:20,Theft,Theft,1.0
1 IPC 1860,"5, MAN SINGH ROAD, NEW DELHI",2013-12-12,2016-02-10,INTERVENING DAY,NEW DELHI,8165036170010.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170010,,2016-02-11,TUGHLAK ROAD,11:00,420,00:00,23:59,cheating,cheating,0.0
1 IPC 1860,"98, LODHI ESTATE, NEW DELHI",2017-02-03,2017-02-04,INTERVENING DAY,NEW DELHI,8165036170011.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170011,,2017-02-04,TUGHLAK ROAD,08:45,379,23:00,06:00,Theft,Theft,23.0
1 IPC 1860,"PR ROAD, NEW DELHI",2017-01-30,2017-01-30,Monday,NEW DELHI,8165036170012.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170012,8,2017-01-30,TUGHLAK ROAD,22:10,279/337,22:00,22:00,Rash driving-endangering safety of others,Rash driving,22.0
1 IPC 1860,"32, ABDUL KALAM ROAD, NEW DELHI",2017-02-02,2017-02-02,Thursday,NEW DELHI,8165036170013.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170013,4,2017-02-02,TUGHLAK ROAD,15:00,420,12:05,12:05,cheating,cheating,12.0
1 IPC 1860,"IN FRONT OF KOTHI NO 28, PR ROAD, NEW DELHI",2017-02-08,2017-02-08,Wednesday,NEW DELHI,8165036170014.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170014,5,2017-02-08,TUGHLAK ROAD,13:34,279/337,13:15,13:15,Rash driving-endangering safety of others,Rash driving,13.0
1 IPC 1860,"MAHARISHI RAMAN MARG, BHARTI NAGAR, GATE NO. 7, NEW DELHI",2017-02-17,2017-02-18,INTERVENING DAY,NEW DELHI,8165036170015.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170015,,2017-02-18,TUGHLAK ROAD,07:53,380,17:00,07:00,Theft,Theft,17.0
1 IPC 1860,"RACE COURSE, NEW DELHI",2017-02-23,2017-02-23,Thursday,NEW DELHI,8165036170016.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170016,4,2017-02-27,TUGHLAK ROAD,14:35,420,11:30,11:30,cheating,cheating,11.0
1 IPC 1860,"LOK NAYAK BHAWAN, KHAN MARKET, NEW DELHI",2017-03-12,2017-03-12,Sunday,NEW DELHI,8165036170017.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170017,6,2017-03-12,TUGHLAK ROAD,20:10,379,16:00,16:00,Theft,Theft,16.0
1 IPC 1860,"PARKING, KHAN MARKET, NEW DELHI",2017-03-14,2017-03-14,Tuesday,NEW DELHI,8165036170019.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170019,8,2017-03-14,TUGHLAK ROAD,22:59,356/379/34,22:55,22:55,Snatching-Theft,Snatching,22.0
1 IPC 1860,"IN FRONT OF IIC, MAX MULLARG MARG, NEW DELHI",2017-03-15,2017-03-15,Wednesday,NEW DELHI,8165036170020.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170020,7,2017-03-15,TUGHLAK ROAD,20:50,279/337,20:40,20:40,Rash driving-endangering safety of others,Rash driving,20.0
1 IPC 1860,"SAFDARJUNG ROAD, INFRONT OF 27 SAFDARJUNG ROAD, NEW DELHI",2017-03-30,2017-03-30,Thursday,NEW DELHI,8165036170021.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170021,4,2017-03-30,TUGHLAK ROAD,12:24,279/337,12:23,12:23,Rash driving-endangering safety of others,Rash driving,12.0
1 IPC 1860,"COMMUNITY CENTRE, GOLF LINKS, NEW DELHI",2014-04-14,2014-06-30,INTERVENING DAY,NEW DELHI,8165036170022.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170022,,2014-08-04,TUGHLAK ROAD,00:00,406/420/12OB,00:00,00:00,Criminal breach of trust-cheating,Criminal breach of trust-cheating,0.0
1 IPC 1860,"MOLANA AZAD ROAD FOOTPATH, IN FRONT OF VIGYAN BHAWAN, MEENA BAGH, NEW DELHI",2017-04-10,2017-04-10,Monday,NEW DELHI,8165036170023.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170023,8,2017-04-11,TUGHLAK ROAD,00:35,379/356/34,23:10,23:10,Snatching-Theft,Snatching,23.0
1 IPC 1860,"31, IST FLOOR, GOLF LINKS, NEW DELHI",2017-04-20,2017-04-21,INTERVENING DAY,NEW DELHI,8165036170025.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170025,,2017-04-21,TUGHLAK ROAD,08:58,380/457,22:00,06:00,Theft-house-trespass,Theft,22.0
1 IPC 1860,"INDIA INTERNATIONAL CENTRE, 40 MAX MULLAR MARG IN HALL, NEW DELHI",2017-04-24,2017-04-24,Monday,NEW DELHI,8165036170026.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170026,7,2017-04-24,TUGHLAK ROAD,21:37,380,18:30,21:30,Theft,Theft,18.0
1 IPC 1860,"157, GOLF LINK, NEW DELHI",2017-04-25,2017-04-25,Tuesday,NEW DELHI,8165036170027.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170027,,2017-04-25,TUGHLAK ROAD,07:19,380/457,02:00,05:00,Theft-house-trespass,Theft,2.0
1 IPC 1860,"TEES JANUARY MARG, OPPOSITE KOTHI NO. 10, NEW DELHI",2017-04-25,2017-04-25,Tuesday,NEW DELHI,8165036170028.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170028,8,2017-04-25,TUGHLAK ROAD,23:11,279/304A,23:11,23:11,Negligence conduct-Rash driving,Rash driving,23.0
1 IPC 1860,"KOTHI NO. 24, GOLF LINKS, NEW DELHI",2017-04-30,2017-04-30,Sunday,NEW DELHI,8165036170029.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170029,,2017-04-30,TUGHLAK ROAD,11:20,380/457,01:00,07:00,Theft-house-trespass,Theft,1.0
1 IPC 1860,"AMRITA SHERGIL MARG, NEAR LODHI GARDEN, NEW DELHI",2017-04-30,2017-04-30,Sunday,NEW DELHI,8165036170030.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170030,6,2017-04-30,TUGHLAK ROAD,18:22,379,17:30,18:22,Theft,Theft,17.0
1 IPC 1860,"D 596, MANDIR MARG, NEW DELHI",2017-01-05,2017-01-05,Thursday,NEW DELHI,8165015170003.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165015170003,8,2017-01-07,MANDIR MARG,16:05,363,23:00,23:00,Kidnapping,Kidnapping,23.0
1 IPC 1860,,2017-01-12,2017-01-12,Thursday,NEW DELHI,8165015170005.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165015170005,7,2017-01-13,MANDIR MARG,00:06,379/34,21:45,21:45,Theft,Theft,21.0
1 IPC 1860,"UNDER R.KASHRAM METRO STATION, NEW DELHI",2017-01-17,2017-01-17,Tuesday,NEW DELHI,8165015170007.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165015170007,7,2017-01-17,MANDIR MARG,22:35,379,19:00,19:15,Theft,Theft,19.0
1 IPC 1860,BIHAR,2015-06-13,2015-12-21,INTERVENING DAY,NEW DELHI,8165015170011.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165015170011,,2017-01-21,MANDIR MARG,00:00,498A/406/34,00:00,00:00,Criminal breach of trust-domestic abuse,domestic abuse,0.0
1 IPC 1860,NEW DELHI,2015-08-27,2015-11-19,INTERVENING DAY,NEW DELHI,8165015170012.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165015170012,,2017-01-22,MANDIR MARG,00:00,498A/406/34,00:00,00:00,Criminal breach of trust-domestic abuse,domestic abuse,0.0
1 IPC 1860,"ON BANGLA SAHIB ROAD, IN FRONT OF JESES AND MARRY SCHOOL GATE, NEW DELHI",2017-02-10,2017-02-10,Friday,NEW DELHI,8165015170021.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165015170021,7,2017-02-10,MANDIR MARG,20:00,379/356/411,19:30,19:30,Snatching-Theft,Snatching,19.0
1 IPC 1860,"SHOP NO. 46, BHAGAT SINGH MARKET, GOLE MARKET, NEW DELHI",2017-02-11,2017-02-12,INTERVENING DAY,NEW DELHI,8165015170023.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165015170023,,2017-02-12,MANDIR MARG,10:38,380/457,22:00,10:00,Theft-house-trespass,Theft,22.0
1 IPC 1860,"NEAR INDIAN OIL PETROL PUMP, ON BHAI VEER SINGH MARG,, GOLE MARKET, NEW DELHI",2017-02-13,2017-02-13,Monday,NEW DELHI,8165015170025.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165015170025,7,2017-02-13,MANDIR MARG,23:10,379/356/34,21:15,21:15,Snatching-Theft,Snatching,21.0
1 IPC 1860,"SBI BANK, BANGLA SAHIB ROAD, NEW DELHI",2017-02-15,2017-02-15,Wednesday,NEW DELHI,8165015170026.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165015170026,4,2017-02-15,MANDIR MARG,22:30,420/34,12:25,12:25,cheating,cheating,12.0
1 IPC 1860,"EMERGENCY GATE, LHMC HOSPITAL, PANCHKUIAN ROAD, NEW DELHI",2017-02-18,2017-02-18,Saturday,NEW DELHI,8165015170029.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165015170029,4,2017-02-18,MANDIR MARG,14:00,420/34,10:35,11:00,cheating,cheating,10.0
1 IPC 1860,"TOLASTOY MARG NEAR JANPATH METRO STATION, CONNAUGHT PLACE NEW DELHI",2017-01-05,2017-01-05,Thursday,NEW DELHI,8165011170002.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165011170002,7,2017-01-05,CONNAUGHT PLACE,22:50,354/34,21:00,21:00,sexual harrasement,sexual harrasement,21.0
1 IPC 1860,"HALDIRAM, CONNAUGHT PLACE NEW DELHI",2017-01-07,2017-01-07,Saturday,NEW DELHI,8165011170003.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165011170003,5,2017-01-07,CONNAUGHT PLACE,15:30,379,14:10,14:10,Theft,Theft,14.0
1 IPC 1860,"OUTER CIRCLE INFRONT OF H BLOCK, CONNAUGHT PLACE NEW DELHI",2017-01-08,2017-01-08,Sunday,NEW DELHI,8165011170004.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165011170004,1,2017-01-08,CONNAUGHT PLACE,03:45,356/379/411/34,00:30,00:30,Snatching-Theft,Snatching,0.0
